Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,65.400,15.280,0.989,8.261,8.409,16.788,33.206,33.918,75.034,148.648,0.065
5,64.600,15.536,0.759,8.263,8.391,16.753,33.291,33.534,58.383,381.191,0.064
10,65.200,15.271,0.807,8.274,8.431,16.750,33.339,41.813,74.988,83.301,0.065
15,67.400,14.821,0.607,8.274,8.405,16.733,33.323,36.232,66.599,112.314,0.067
20,68.000,14.688,0.586,8.273,8.390,16.710,26.066,33.497,83.757,181.078,0.068
25,63.400,15.780,0.670,8.290,8.479,16.721,33.353,40.068,82.279,133.496,0.063
30,65.000,15.315,0.581,8.268,8.450,16.721,33.329,41.787,74.371,148.686,0.065
35,60.600,16.507,0.795,8.277,8.410,16.752,33.468,48.904,84.552,167.586,0.061
40,59.200,16.861,0.529,8.295,8.402,16.750,33.373,50.036,100.621,316.663,0.059
45,67.800,14.738,0.597,8.267,8.424,16.734,33.250,41.090,58.346,126.602,0.068
50,66.400,15.040,0.684,8.284,8.426,16.744,33.237,38.840,81.775,94.829,0.066
55,66.400,14.817,0.627,8.276,8.433,16.725,33.341,41.652,58.542,82.699,0.067
