Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.000,2.276,1.193,1.781,2.046,2.892,3.137,3.575,3.575,3.575,0.439
5,1.200,1.481,1.002,1.414,1.489,1.732,1.819,1.819,1.819,1.819,0.675
10,3.600,1.446,0.702,0.920,1.513,1.812,2.029,2.133,2.133,2.133,0.692
15,2.600,1.393,1.004,1.215,1.348,1.569,1.759,1.848,1.848,1.848,0.718
20,2.800,1.160,0.706,0.970,1.205,1.312,1.403,1.590,1.590,1.590,0.862
25,3.400,1.286,0.706,0.933,1.422,1.504,1.677,1.679,1.679,1.679,0.778
30,1.200,1.189,0.606,0.826,1.439,1.503,1.572,1.572,1.572,1.572,0.841
35,3.200,1.227,0.687,1.127,1.269,1.550,1.609,1.763,1.763,1.763,0.815
40,3.400,1.280,0.660,1.100,1.270,1.419,1.704,1.953,1.953,1.953,0.781
45,3.000,1.114,0.630,0.826,1.114,1.412,1.455,1.463,1.463,1.463,0.898
50,2.400,1.149,0.698,0.754,1.248,1.506,1.519,1.800,1.800,1.800,0.870
55,3.400,1.193,0.763,0.962,1.155,1.345,1.780,1.786,1.786,1.786,0.838
