Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.000,36.108,16.130,17.522,27.114,34.995,119.007,119.007,119.007,119.007,0.028
5,2.000,31.651,17.174,25.649,33.719,33.891,45.625,45.625,45.625,45.625,0.032
10,2.400,31.731,16.868,25.426,33.658,34.342,50.428,50.722,50.722,50.722,0.032
15,3.000,31.198,15.572,17.072,25.289,33.628,60.234,97.662,97.662,97.662,0.032
20,2.400,28.109,17.041,25.175,25.265,30.710,33.595,54.587,54.587,54.587,0.036
25,2.200,36.998,16.394,16.996,25.244,65.809,66.881,66.978,66.978,66.978,0.027
30,1.800,26.251,16.996,17.081,25.327,33.369,41.975,41.975,41.975,41.975,0.038
35,2.000,22.957,16.430,16.937,25.293,25.501,33.666,33.666,33.666,33.666,0.044
40,3.000,23.868,14.927,16.857,25.089,25.348,39.661,41.865,41.865,41.865,0.042
45,2.800,24.530,16.730,16.845,17.089,25.199,50.547,58.400,58.400,58.400,0.041
50,3.000,22.874,16.694,16.828,17.374,32.205,33.407,33.429,33.429,33.429,0.044
55,2.600,20.094,16.710,16.806,16.932,25.040,25.388,33.590,33.590,33.590,0.050
