Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,26.200,19.068,8.240,15.064,16.687,20.906,33.441,36.227,66.581,66.743,0.052
5,26.800,18.111,6.570,8.370,16.669,16.835,36.704,50.156,64.519,82.519,0.055
10,31.000,17.846,7.378,8.447,16.673,16.811,33.238,41.570,58.150,83.334,0.056
15,31.000,19.259,2.888,8.380,16.632,16.749,34.633,53.781,121.259,180.915,0.052
20,24.600,20.314,7.558,15.804,17.003,17.354,29.129,50.436,95.205,166.162,0.049
25,29.400,19.718,5.514,15.202,16.884,22.442,33.600,42.091,72.604,99.086,0.051
30,28.000,18.190,5.173,14.848,16.811,17.387,32.335,41.807,50.062,58.473,0.055
35,30.200,20.807,6.646,8.487,16.773,18.756,33.383,41.743,141.870,169.566,0.048
40,29.000,19.742,3.894,8.472,16.671,16.876,27.910,33.461,273.180,277.292,0.051
45,29.400,20.782,2.631,16.340,16.738,17.336,33.559,49.955,83.581,108.682,0.048
50,29.600,21.612,4.891,15.161,16.713,16.894,35.052,43.074,98.666,316.852,0.046
55,23.200,25.980,8.120,16.669,16.778,25.235,41.615,50.083,238.435,255.427,0.038
