Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.800,2.006,1.168,1.350,1.783,2.634,3.042,3.042,3.042,3.042,0.499
5,3.600,1.493,0.636,1.345,1.567,1.748,1.991,2.191,2.191,2.191,0.670
10,3.000,1.228,0.688,0.810,1.394,1.603,1.723,1.963,1.963,1.963,0.814
15,2.000,1.275,0.641,0.870,1.496,1.549,1.615,1.615,1.615,1.615,0.784
20,2.600,1.287,0.675,1.174,1.323,1.464,1.635,1.694,1.694,1.694,0.777
25,3.600,1.189,0.601,1.033,1.257,1.435,1.594,1.655,1.655,1.655,0.841
30,2.600,1.254,0.502,1.187,1.263,1.464,1.541,2.108,2.108,2.108,0.798
35,2.000,1.238,0.637,0.981,1.303,1.581,1.722,1.722,1.722,1.722,0.808
40,3.000,1.191,0.511,0.820,1.285,1.464,1.577,1.741,1.741,1.741,0.840
45,2.400,1.195,0.660,1.130,1.193,1.467,1.471,1.518,1.518,1.518,0.837
50,2.600,1.389,0.808,1.189,1.327,1.588,1.829,1.896,1.896,1.896,0.720
55,1.400,1.098,0.721,0.804,1.154,1.270,1.500,1.500,1.500,1.500,0.911
