Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.800,11.708,3.648,6.005,7.954,8.478,24.650,49.506,81.898,81.898,0.085
5,20.800,11.907,3.121,6.393,7.629,8.369,25.202,47.776,66.827,92.126,0.084
10,26.600,14.166,3.540,5.858,7.445,8.359,32.349,54.690,105.165,182.544,0.071
15,30.400,9.577,3.666,6.330,7.690,8.336,11.231,31.383,45.999,66.083,0.104
20,30.400,12.146,3.316,6.035,7.348,9.802,21.695,31.877,99.675,167.748,0.082
25,31.800,11.049,3.118,6.007,7.711,9.976,26.527,32.675,64.858,81.395,0.091
30,29.400,15.278,3.260,5.698,7.664,9.675,31.785,47.750,204.992,236.287,0.065
35,30.400,13.069,3.088,5.837,7.685,9.742,25.842,41.797,106.585,207.715,0.077
40,37.600,11.931,3.213,5.917,7.615,9.722,24.977,44.891,74.338,123.221,0.084
45,36.800,12.178,3.289,6.071,7.827,10.311,26.856,37.648,104.690,166.329,0.082
50,44.800,10.434,3.289,5.622,7.211,9.654,16.544,37.378,66.512,71.776,0.096
55,37.600,13.266,3.108,5.730,7.717,10.432,25.457,37.984,98.395,274.704,0.075
