Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,28.000,20.968,6.086,16.567,16.726,22.853,33.524,41.682,108.362,148.648,0.048
5,31.000,20.295,2.429,8.411,16.672,16.920,33.361,38.744,92.822,381.191,0.049
10,30.000,18.970,6.957,8.504,16.692,16.869,33.816,41.840,74.988,83.301,0.053
15,30.400,18.151,7.177,12.764,16.672,16.798,33.381,37.561,66.599,83.531,0.055
20,30.600,18.248,4.052,8.394,16.673,16.775,33.278,33.497,116.780,148.013,0.055
25,30.600,21.187,5.761,16.541,16.678,16.917,33.532,49.328,125.118,133.496,0.047
30,29.600,19.071,6.153,16.278,16.673,16.804,33.367,41.787,74.371,148.686,0.052
35,28.200,24.057,6.266,15.938,16.717,25.009,48.904,68.323,126.634,167.586,0.042
40,28.400,18.813,2.141,8.374,16.638,16.821,33.376,41.820,100.621,106.067,0.053
45,29.600,19.853,7.484,16.058,16.678,22.954,33.572,41.888,58.346,69.561,0.050
50,27.000,20.423,6.030,16.032,16.688,16.793,33.457,50.184,84.848,94.829,0.049
55,28.800,18.744,7.650,16.001,16.689,16.778,33.390,41.766,59.041,71.866,0.053
