Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.200,28.520,16.746,25.066,25.696,33.485,37.732,58.501,58.501,58.501,0.035
5,3.600,24.109,16.347,16.691,16.822,25.061,55.440,65.696,65.696,65.696,0.041
10,4.400,29.889,16.622,21.467,25.115,33.459,58.435,58.460,66.928,66.928,0.033
15,3.000,31.499,16.262,25.047,25.156,33.528,51.380,61.310,61.310,61.310,0.032
20,3.200,35.044,16.814,18.836,25.906,42.195,67.603,91.335,91.335,91.335,0.029
25,3.200,25.979,17.155,17.356,25.538,32.191,50.972,51.204,51.204,51.204,0.038
30,3.400,30.718,16.866,24.769,25.600,33.836,48.461,75.319,75.319,75.319,0.033
35,2.600,28.758,16.897,16.953,19.885,27.678,33.829,108.740,108.740,108.740,0.035
40,2.800,31.477,16.952,17.231,25.433,33.665,50.349,73.539,73.539,73.539,0.032
45,2.400,35.732,16.938,25.139,25.342,34.083,74.734,100.758,100.758,100.758,0.028
50,2.200,28.381,15.582,16.987,25.402,34.381,50.347,58.609,58.609,58.609,0.035
55,2.200,29.986,17.004,25.270,25.357,33.525,41.893,53.233,53.233,53.233,0.033
