Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1654415143.068967,22194,0,1
5,StockLevel,1654415143.091256,3434,0,1
1,NewOrder,1654415143.094725,13697,0,1
1,NewOrder,1654415143.108443,16124,0,1
2,Payment,1654415143.124590,16880,0,1
2,Payment,1654415143.141506,8185,0,1
2,Payment,1654415143.149710,16547,0,1
1,NewOrder,1654415143.166279,16754,0,1
1,NewOrder,1654415143.183058,16770,0,1
2,Payment,1654415143.199848,8453,0,1
2,Payment,1654415143.208326,33187,0,1
2,Payment,1654415143.241537,8249,0,1
4,Delivery,1654415143.249808,41764,0,1
2,Payment,1654415143.291595,8324,0,1
1,NewOrder,1654415143.299946,8295,0,1
5,StockLevel,1654415143.308261,1900,0,1
2,Payment,1654415143.310178,6506,0,1
2,Payment,1654415143.316716,8256,0,1
4,Delivery,1654415143.325005,41836,0,1
2,Payment,1654415143.366867,8250,0,1
1,NewOrder,1654415143.375140,16654,0,1
2,Payment,1654415143.391819,8308,0,1
2,Payment,1654415143.400149,8401,0,1
1,NewOrder,1654415143.408571,16767,0,1
2,Payment,1654415143.425357,8159,0,1
2,Payment,1654415143.433533,8429,0,1
1,NewOrder,1654415143.441977,8236,0,1
1,NewOrder,1654415143.450230,8398,0,1
1,NewOrder,1654415143.458648,25003,0,1
1,NewOrder,1654415143.483673,8461,0,1
2,Payment,1654415143.492153,8262,0,1
1,NewOrder,1654415143.500432,8292,0,1
2,Payment,1654415143.508743,8307,0,1
1,NewOrder,1654415143.517083,8912,0,1
2,Payment,1654415143.526024,7799,0,1
1,NewOrder,1654415143.533845,16734,0,1
2,Payment,1654415143.550601,8403,0,1
1,NewOrder,1654415143.559022,8184,0,1
4,Delivery,1654415143.567226,16823,0,1
1,NewOrder,1654415143.584084,8242,0,1
2,Payment,1654415143.592346,8387,0,1
1,NewOrder,1654415143.600756,16818,0,1
2,Payment,1654415143.617593,8219,0,1
2,Payment,1654415143.625860,33292,0,1
1,NewOrder,1654415143.659175,16667,0,1
2,Payment,1654415143.675863,8328,0,1
1,NewOrder,1654415143.684212,16712,0,1
1,NewOrder,1654415143.700945,16871,0,1
1,NewOrder,1654415143.717852,16626,0,1
1,NewOrder,1654415143.734502,16643,0,1
1,NewOrder,1654415143.751168,8286,0,1
1,NewOrder,1654415143.759481,16632,0,1
2,Payment,1654415143.776138,8308,0,1
2,Payment,1654415143.784470,8252,0,1
2,Payment,1654415143.792738,8391,0,1
2,Payment,1654415143.801150,8403,0,1
5,StockLevel,1654415143.809586,3118,0,1
1,NewOrder,1654415143.812746,13565,0,1
2,Payment,1654415143.826356,8774,0,1
2,Payment,1654415143.835158,7869,0,1
1,NewOrder,1654415143.843051,16680,0,1
2,Payment,1654415143.859762,8349,0,1
2,Payment,1654415143.868142,8346,0,1
1,NewOrder,1654415143.876522,25012,0,1
1,NewOrder,1654415143.901611,16491,0,1
1,NewOrder,1654415143.918134,16637,0,1
1,NewOrder,1654415143.934797,25106,0,1
1,NewOrder,1654415143.959929,16623,0,1
5,StockLevel,1654415143.976576,2077,0,1
1,NewOrder,1654415143.978677,14536,0,1
4,Delivery,1654415143.993236,25165,0,1
2,Payment,1654415144.018421,8202,0,1
2,Payment,1654415144.026640,8440,0,1
2,Payment,1654415144.035095,8252,0,1
1,NewOrder,1654415144.043368,8352,0,1
1,NewOrder,1654415144.051739,8285,0,1
1,NewOrder,1654415144.060039,8366,0,1
1,NewOrder,1654415144.068423,8311,0,1
