Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,195.600,0.469,0.160,0.288,0.462,0.579,0.725,0.810,1.150,1.538,2.131
5,231.000,0.396,0.155,0.280,0.384,0.491,0.582,0.654,0.786,2.503,2.523
10,224.800,0.389,0.130,0.281,0.387,0.482,0.567,0.625,0.733,1.036,2.567
15,262.400,0.313,0.123,0.224,0.308,0.377,0.453,0.533,0.644,1.143,3.195
20,302.000,0.351,0.134,0.252,0.357,0.415,0.504,0.560,0.672,1.550,2.846
25,341.600,0.341,0.125,0.217,0.347,0.417,0.511,0.558,0.652,3.930,2.937
30,304.600,0.331,0.140,0.228,0.337,0.403,0.478,0.531,0.615,0.971,3.024
35,449.800,0.294,0.122,0.195,0.279,0.364,0.436,0.494,0.586,3.014,3.404
40,422.800,0.305,0.123,0.201,0.291,0.378,0.450,0.502,0.608,3.039,3.274
45,437.600,0.308,0.125,0.207,0.296,0.372,0.443,0.507,0.646,3.633,3.252
50,449.400,0.302,0.124,0.195,0.277,0.371,0.447,0.496,0.614,4.219,3.313
55,407.200,0.324,0.123,0.202,0.329,0.395,0.475,0.535,0.638,8.455,3.089
