Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1654432696.432489,45088,0,1
2,Payment,1654432696.477738,8121,0,1
1,NewOrder,1654432696.485885,25076,0,1
2,Payment,1654432696.510985,8351,0,1
1,NewOrder,1654432696.519373,24963,0,1
1,NewOrder,1654432696.544370,70462,0,1
1,NewOrder,1654432696.614853,12779,0,1
2,Payment,1654432696.627655,8315,0,1
1,NewOrder,1654432696.635989,16658,0,1
2,Payment,1654432696.652676,16604,0,1
1,NewOrder,1654432696.669305,16707,0,1
3,OrderStatus,1654432696.686075,3748,0,1
1,NewOrder,1654432696.689846,12885,0,1
1,NewOrder,1654432696.702757,50194,0,1
2,Payment,1654432696.752986,41775,0,1
1,NewOrder,1654432696.794791,5919,0,1
1,NewOrder,1654432696.800732,36214,0,1
1,NewOrder,1654432696.836973,16659,0,1
1,NewOrder,1654432696.853659,16635,0,1
2,Payment,1654432696.870332,8264,0,1
1,NewOrder,1654432696.878618,16800,0,1
2,Payment,1654432696.895438,8307,0,1
1,NewOrder,1654432696.903767,16724,0,1
1,NewOrder,1654432696.920515,8362,0,1
2,Payment,1654432696.928898,8293,0,1
3,OrderStatus,1654432696.937213,2045,0,1
1,NewOrder,1654432696.939291,14602,0,1
1,NewOrder,1654432696.953927,16704,0,1
2,Payment,1654432696.970657,8218,0,1
5,StockLevel,1654432696.978898,2400,0,1
1,NewOrder,1654432696.981314,15005,0,1
1,NewOrder,1654432696.996346,16002,0,1
2,Payment,1654432697.012375,8290,0,1
1,NewOrder,1654432697.020687,16791,0,1
2,Payment,1654432697.037499,16713,0,1
2,Payment,1654432697.054240,8296,0,1
4,Delivery,1654432697.062557,25196,0,1
2,Payment,1654432697.087775,8270,0,1
2,Payment,1654432697.096067,33405,0,1
1,NewOrder,1654432697.129495,48497,0,1
2,Payment,1654432697.178015,26516,0,1
1,NewOrder,1654432697.204554,8319,0,1
2,Payment,1654432697.212902,8340,0,1
1,NewOrder,1654432697.221285,33361,0,1
1,NewOrder,1654432697.254672,8234,0,1
5,StockLevel,1654432697.262926,1852,0,1
1,NewOrder,1654432697.264794,14832,0,1
1,NewOrder,1654432697.279645,8543,0,1
4,Delivery,1654432697.288221,33350,0,1
1,NewOrder,1654432697.321604,17260,0,1
1,NewOrder,1654432697.338903,16583,0,1
2,Payment,1654432697.355521,8289,0,1
2,Payment,1654432697.363844,8268,0,1
5,StockLevel,1654432697.372141,2721,0,1
5,StockLevel,1654432697.374890,2014,0,1
2,Payment,1654432697.376924,11860,0,1
1,NewOrder,1654432697.388813,8402,0,1
4,Delivery,1654432697.397234,16854,0,1
2,Payment,1654432697.414120,8284,0,1
1,NewOrder,1654432697.422435,16764,0,1
5,StockLevel,1654432697.439230,3422,0,1
2,Payment,1654432697.442685,13059,0,1
2,Payment,1654432697.455773,8937,0,1
1,NewOrder,1654432697.464741,16073,0,1
2,Payment,1654432697.480865,8327,0,1
1,NewOrder,1654432697.489223,16653,0,1
1,NewOrder,1654432697.505933,16695,0,1
3,OrderStatus,1654432697.522679,3153,0,1
1,NewOrder,1654432697.525863,21759,0,1
2,Payment,1654432697.547654,8270,0,1
2,Payment,1654432697.555962,8381,0,1
1,NewOrder,1654432697.564374,25033,0,1
2,Payment,1654432697.589439,24909,0,1
1,NewOrder,1654432697.614379,16639,0,1
2,Payment,1654432697.631054,8335,0,1
2,Payment,1654432697.639410,8276,0,1
1,NewOrder,1654432697.647711,16789,0,1
2,Payment,1654432697.664522,8299,0,1
1,NewOrder,1654432697.672841,16658,0,1
1,NewOrder,1654432697.689536,33337,0,1
4,Delivery,1654432697.722897,16659,0,1
1,NewOrder,1654432697.739575,16816,0,1
1,NewOrder,1654432697.756414,16657,0,1
1,NewOrder,1654432697.773092,16715,0,1
2,Payment,1654432697.789825,8228,0,1
1,NewOrder,1654432697.798067,8483,0,1
1,NewOrder,1654432697.806577,41881,0,1
1,NewOrder,1654432697.848494,16430,0,1
