Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,30.600,12.967,4.449,8.280,8.318,8.402,24.967,33.347,79.699,224.921,0.077
5,31.400,13.349,6.529,8.239,8.328,8.425,26.711,48.691,116.867,126.455,0.075
10,27.200,11.076,6.719,8.263,8.319,8.402,13.515,33.246,56.511,57.396,0.090
15,24.200,12.399,4.668,8.262,8.332,8.413,31.384,37.167,50.153,66.817,0.081
20,26.000,14.604,6.058,8.347,8.410,8.916,25.130,33.305,119.269,280.761,0.068
25,33.000,9.803,5.395,8.270,8.341,8.416,12.895,22.045,33.384,33.613,0.102
30,31.200,12.090,5.734,8.278,8.355,8.468,18.070,26.677,101.379,201.238,0.083
35,26.200,10.913,5.440,8.277,8.335,8.402,20.538,33.373,41.162,42.712,0.092
40,25.000,13.204,4.498,8.284,8.328,8.408,24.926,35.001,101.557,140.359,0.076
45,23.400,12.542,5.772,8.268,8.337,8.428,16.718,33.116,53.481,249.638,0.080
50,23.400,12.361,5.321,8.265,8.322,8.401,24.552,33.321,66.606,196.715,0.081
55,23.400,13.617,7.092,8.258,8.326,8.383,25.064,34.497,112.610,198.190,0.073
