Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.600,2.756,1.387,2.539,2.863,3.329,3.347,3.406,3.406,3.406,0.363
5,2.200,2.547,1.414,2.332,2.703,3.036,3.067,3.213,3.213,3.213,0.393
10,3.600,2.024,1.146,1.366,2.046,2.488,2.655,4.123,4.123,4.123,0.494
15,3.200,2.608,1.439,2.240,2.713,3.074,3.483,3.582,3.582,3.582,0.384
20,3.600,2.479,1.416,1.998,2.671,2.895,3.116,3.268,3.268,3.268,0.403
25,3.800,2.181,1.299,1.882,2.206,2.504,2.669,3.247,3.247,3.247,0.458
30,2.600,2.225,1.416,1.867,2.240,2.489,2.878,3.069,3.069,3.069,0.449
35,3.400,2.399,1.432,2.077,2.580,2.743,2.826,3.356,3.356,3.356,0.417
40,2.400,2.317,1.696,2.124,2.429,2.498,2.750,2.877,2.877,2.877,0.432
45,1.000,2.568,1.313,2.699,2.755,2.912,3.163,3.163,3.163,3.163,0.389
50,2.000,2.570,2.196,2.295,2.525,2.818,3.097,3.097,3.097,3.097,0.389
55,2.800,2.155,1.253,1.594,2.298,2.623,2.932,3.028,3.028,3.028,0.464
