Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,38.800,5.402,0.352,0.826,5.256,7.488,8.356,11.738,49.005,59.314,0.185
5,51.000,4.420,0.288,0.578,0.772,6.576,9.962,14.629,58.459,66.847,0.226
10,50.400,4.094,0.275,0.631,0.852,6.018,8.396,11.694,50.620,90.680,0.244
15,51.800,4.268,0.248,0.425,0.649,3.750,8.371,11.298,41.910,188.567,0.234
20,60.800,2.847,0.251,0.443,0.657,0.921,7.966,10.960,38.396,62.704,0.351
25,71.400,2.007,0.255,0.425,0.657,0.878,7.123,8.759,17.445,34.387,0.498
30,66.800,2.054,0.257,0.442,0.659,0.812,7.242,10.013,22.603,32.932,0.487
35,92.000,1.834,0.225,0.366,0.537,0.682,5.271,8.052,31.777,66.050,0.545
40,86.400,1.842,0.221,0.363,0.568,0.740,5.435,8.108,31.341,45.263,0.543
45,93.800,1.243,0.237,0.388,0.553,0.692,0.955,6.907,11.233,37.281,0.804
50,87.800,1.291,0.225,0.351,0.506,0.695,1.041,7.230,19.074,27.426,0.774
55,83.600,1.359,0.225,0.375,0.587,0.712,0.966,7.050,11.444,49.925,0.736
