Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,6.200,81.081,4.568,58.878,76.944,100.201,109.660,151.423,183.873,183.873,0.012
5,6.600,74.223,44.580,58.638,66.956,83.473,102.088,105.557,106.150,106.150,0.013
10,6.400,77.097,6.238,58.302,83.457,93.089,100.211,117.283,126.566,126.566,0.013
15,6.600,73.675,44.719,56.360,68.468,83.478,100.131,128.949,133.652,133.652,0.014
20,6.400,79.287,57.660,58.483,83.252,97.489,108.339,111.638,140.856,140.856,0.013
25,8.000,76.744,42.430,58.228,75.136,91.231,116.829,141.088,150.803,150.803,0.013
30,7.600,74.430,39.814,58.248,58.898,83.532,108.684,124.895,206.999,206.999,0.013
35,5.600,83.837,47.403,58.472,83.381,96.517,117.264,125.227,242.547,242.547,0.012
40,6.400,78.959,47.195,58.495,77.119,98.129,105.176,122.465,133.058,133.058,0.013
45,7.800,79.880,41.925,50.207,74.961,98.981,123.672,125.096,203.835,203.835,0.013
50,5.400,108.358,4.821,57.879,87.265,117.590,150.501,249.992,575.823,575.823,0.009
55,6.200,88.387,38.698,57.796,81.077,108.413,133.166,181.740,225.657,225.657,0.011
